,date,1. open,2. high,3. low,4. close,5. volume
69,2020-02-14 10:15:00,323.913,324.2603,323.1593,323.2773,472857.0
471,2020-02-06 15:45:00,324.41,324.55,324.26,324.54,211443.0
512,2020-02-06 12:20:00,322.625,322.82,322.51,322.76,167910.0
704,2020-02-03 15:50:00,308.25,308.3499,307.51,307.5102,434891.0
728,2020-02-03 13:50:00,307.5025,308.0448,307.3041,307.6959,303342.0
929,2020-01-30 10:05:00,322.3717,322.9598,322.3598,322.4616,502279.0
13,2020-02-14 14:55:00,324.145,324.25,324.041,324.12,92263.0
816,2020-01-31 13:00:00,314.73,314.95,314.58,314.82,289179.0
236,2020-02-11 15:50:00,319.3976,319.46,318.81,318.889,334710.0
196,2020-02-12 12:40:00,324.905,324.96,324.76,324.8601,195841.0
1070,2020-01-28 11:20:00,315.1928,315.9599,315.0,315.86,451714.0
988,2020-01-29 11:40:00,326.5261,327.0972,326.4567,326.5564,540395.0
880,2020-01-30 14:10:00,319.97,320.33,319.76,320.33,181614.0
1102,2020-01-27 15:10:00,308.9435,309.38,308.87,309.06,314787.0
324,2020-02-10 15:00:00,320.23,320.79,320.22,320.66,345316.0
354,2020-02-10 12:30:00,318.72,319.28,318.72,319.211,151455.0
1047,2020-01-28 13:15:00,316.3701,316.644,316.25,316.605,212464.0
499,2020-02-06 13:25:00,323.78,324.0,323.65,323.9184,222171.0
785,2020-01-31 15:35:00,310.8116,311.3314,310.5407,310.7465,647960.0
619,2020-02-05 09:55:00,323.35,323.35,322.5198,322.6244,690539.0
211,2020-02-12 11:25:00,324.39,324.53,324.13,324.53,445943.0
1031,2020-01-28 14:35:00,317.1172,317.4,317.02,317.36,232691.0
627,2020-02-04 15:45:00,317.9752,318.2654,317.7049,317.7752,463419.0
710,2020-02-03 15:20:00,307.34,307.74,307.29,307.73,227966.0
59,2020-02-14 11:05:00,325.74,325.88,325.235,325.31,214389.0
346,2020-02-10 13:10:00,319.6364,319.8816,319.5513,319.5605,102443.0
745,2020-02-03 12:25:00,310.81,311.2631,310.81,311.0401,243963.0
1095,2020-01-27 15:45:00,309.3427,309.67,309.1497,309.5,326086.0
1039,2020-01-28 13:55:00,316.6363,316.82,316.53,316.77,124273.0
416,2020-02-07 13:50:00,321.795,321.8,321.31,321.47,172906.0
549,2020-02-05 15:45:00,321.9,321.98,321.66,321.77,336915.0
518,2020-02-06 11:50:00,322.32,322.62,322.32,322.6012,106952.0
1029,2020-01-28 14:45:00,317.38,317.56,317.28,317.43,180601.0
733,2020-02-03 13:25:00,307.0298,307.288,306.84,307.16,534016.0
1008,2020-01-29 10:00:00,324.24,324.48,322.8,323.36,1018574.0
461,2020-02-07 10:05:00,321.18,321.46,320.7706,320.97,567198.0
1042,2020-01-28 13:40:00,316.6336,316.6336,316.13,316.27,253435.0
520,2020-02-06 11:40:00,322.8338,322.8499,322.37,322.51,197548.0
621,2020-02-05 09:45:00,321.6702,321.9755,321.2649,321.4402,826786.0
52,2020-02-14 11:40:00,324.85,324.89,324.6557,324.7,177982.0
343,2020-02-10 13:25:00,319.87,319.94,319.82,319.87,102973.0
601,2020-02-05 11:25:00,321.22,321.32,320.55,320.68,267975.0
545,2020-02-06 09:35:00,322.61,323.0,321.7,321.7,1437328.0
7,2020-02-14 15:25:00,323.92,324.01,323.73,323.86,222614.0
344,2020-02-10 13:20:00,319.85,319.95,319.83,319.88,181373.0
398,2020-02-07 15:20:00,318.9084,319.3992,318.7285,318.7784,387715.0
1065,2020-01-28 11:45:00,315.97,316.13,315.83,315.8338,177609.0
791,2020-01-31 15:05:00,312.22,312.56,311.52,311.6676,449932.0
381,2020-02-10 10:15:00,317.5114,317.795,316.8841,316.907,432581.0
160,2020-02-12 15:40:00,325.6332,325.94,325.55,325.83,411762.0
411,2020-02-07 14:15:00,319.8115,320.3774,319.1462,319.3915,555511.0
848,2020-01-31 10:20:00,316.0662,316.4388,315.318,316.0359,1119192.0
1129,2020-01-27 12:50:00,311.2461,311.7852,311.1547,311.5211,315392.0
975,2020-01-29 12:45:00,326.7131,327.2132,326.5625,326.8931,230881.0
970,2020-01-29 13:10:00,326.159,326.17,325.46,325.6197,343648.0
250,2020-02-11 14:40:00,321.0,321.24,320.99,321.23,194123.0
927,2020-01-30 10:15:00,323.4138,323.73,323.02,323.1846,533310.0
89,2020-02-13 15:05:00,326.03700000000003,326.18,325.23,325.28,273313.0
345,2020-02-10 13:15:00,319.5528,319.9,319.5,319.83,138555.0
244,2020-02-11 15:10:00,320.19,320.57,320.086,320.0862,309234.0
477,2020-02-06 15:15:00,324.65,324.68,324.3,324.4864,169108.0
287,2020-02-11 11:35:00,322.47,322.562,321.99,322.08,316018.0
894,2020-01-30 13:00:00,320.27,320.6,320.24,320.43,141634.0
83,2020-02-13 15:35:00,325.22,325.3,324.67,324.91,241606.0
1011,2020-01-29 09:45:00,324.4,325.18,323.99,323.99,1707610.0
265,2020-02-11 13:25:00,322.52,322.55,322.194,322.2,95345.0
120,2020-02-13 12:30:00,325.76,325.77,325.54,325.594,172167.0
909,2020-01-30 11:45:00,321.58,321.95,321.34,321.49,314856.0
188,2020-02-12 13:20:00,324.9162,325.24,324.89,325.1387,182478.0
224,2020-02-12 10:20:00,322.5939,322.94,322.5,322.89,278012.0
687,2020-02-04 10:45:00,316.7541,317.34,316.71,316.96,431492.0
